sku,brand,brand_tier,category,product_name,variant,pack_size,price_idr,launch_year,is_flagship
COL-PER-WHI-810,Colgate,economy,Personal Care,Colgate Personal Care Whitening,Whitening,250ml,6959,2020,False
COL-PER-NAT-117,Colgate,economy,Personal Care,Colgate Personal Care Natural,Natural,300ml,9252,2019,False
COL-PER-NAT-249,Colgate,economy,Personal Care,Colgate Personal Care Natural,Natural,100ml,10237,2021,False
COL-PER-SEN-267,Colgate,economy,Personal Care,Colgate Personal Care Sensitive,Sensitive,200ml,5866,2020,False
COL-PER-WHI-751,Colgate,economy,Personal Care,Colgate Personal Care Whitening,Whitening,250ml,10832,2018,False
KAL-BEV-LIG-754,Kalbe,premium,Beverages,Kalbe Beverages Light,Light,1.5L,30034,2022,True
KAL-BEV-SUG-713,Kalbe,premium,Beverages,Kalbe Beverages Sugar-Free,Sugar-Free,250ml,74324,2019,False
KAL-BEV-LIG-377,Kalbe,premium,Beverages,Kalbe Beverages Light,Light,500ml,69921,2023,False
KAL-BEV-ORI-693,Kalbe,premium,Beverages,Kalbe Beverages Original,Original,1.5L,48044,2024,True
TEH-BEV-SUG-388,Teh Botol Sosro,premium,Beverages,Teh Botol Sosro Beverages Sugar-Free,Sugar-Free,1.5L,49445,2024,False
TEH-BEV-EXT-266,Teh Botol Sosro,premium,Beverages,Teh Botol Sosro Beverages Extra,Extra,500ml,31712,2019,True
MAR-CON-REG-728,Mars,mass,Confectionery,Mars Confectionery Regular,Regular,500ml,27224,2024,False
MAR-CON-SPE-664,Mars,mass,Confectionery,Mars Confectionery Special,Special,500ml,13734,2021,False
MAR-CON-PRE-219,Mars,mass,Confectionery,Mars Confectionery Premium,Premium,100g,14300,2018,False
JOH-PER-WHI-807,Johnson & Johnson,premium,Personal Care,Johnson & Johnson Personal Care Whitening,Whitening,200ml,48761,2019,False
JOH-PER-NAT-881,Johnson & Johnson,premium,Personal Care,Johnson & Johnson Personal Care Natural,Natural,300ml,47416,2019,False
JOH-PER-REG-327,Johnson & Johnson,premium,Personal Care,Johnson & Johnson Personal Care Regular,Regular,100ml,33435,2024,True
JOH-PER-SEN-228,Johnson & Johnson,premium,Personal Care,Johnson & Johnson Personal Care Sensitive,Sensitive,200ml,38752,2019,True
JOH-PER-ANT-179,Johnson & Johnson,premium,Personal Care,Johnson & Johnson Personal Care Anti-Aging,Anti-Aging,100ml,26232,2024,False
PAN-PER-REG-210,Pantene,premium,Personal Care,Pantene Personal Care Regular,Regular,150ml,27149,2024,True
PAN-PER-ANT-359,Pantene,premium,Personal Care,Pantene Personal Care Anti-Aging,Anti-Aging,100ml,27836,2018,False
PAN-PER-REG-901,Pantene,premium,Personal Care,Pantene Personal Care Regular,Regular,100ml,33112,2022,True
PAN-PER-NAT-289,Pantene,premium,Personal Care,Pantene Personal Care Natural,Natural,150ml,68948,2020,True
PAN-PER-REG-966,Pantene,premium,Personal Care,Pantene Personal Care Regular,Regular,150ml,73902,2020,False
MON-CON-REG-899,Mondelez,premium,Confectionery,Mondelez Confectionery Regular,Regular,500ml,72746,2022,True
MON-CON-SPE-169,Mondelez,premium,Confectionery,Mondelez Confectionery Special,Special,500ml,31494,2024,True
MON-CON-SPE-832,Mondelez,premium,Confectionery,Mondelez Confectionery Special,Special,100g,37553,2020,True
MON-CON-SPE-842,Mondelez,premium,Confectionery,Mondelez Confectionery Special,Special,100g,31467,2019,False
DOV-PER-NAT-550,Dove,mass,Personal Care,Dove Personal Care Natural,Natural,150ml,13516,2019,False
DOV-PER-WHI-534,Dove,mass,Personal Care,Dove Personal Care Whitening,Whitening,250ml,17021,2022,False
DOV-PER-SEN-215,Dove,mass,Personal Care,Dove Personal Care Sensitive,Sensitive,250ml,20298,2018,False
DOV-PER-ANT-632,Dove,mass,Personal Care,Dove Personal Care Anti-Aging,Anti-Aging,100ml,14453,2021,False
SID-TRA-SPE-670,Sido Muncul,economy,Traditional Medicine,Sido Muncul Traditional Medicine Special,Special,200g,5665,2018,False
SID-TRA-PRE-218,Sido Muncul,economy,Traditional Medicine,Sido Muncul Traditional Medicine Premium,Premium,200g,11304,2020,False
SID-TRA-PRE-853,Sido Muncul,economy,Traditional Medicine,Sido Muncul Traditional Medicine Premium,Premium,500ml,10111,2023,False
SID-TRA-PRE-667,Sido Muncul,economy,Traditional Medicine,Sido Muncul Traditional Medicine Premium,Premium,100g,11672,2020,False
ULT-DAI-LOW-961,Ultra Milk,economy,Dairy,Ultra Milk Dairy Low Fat,Low Fat,125ml,12793,2023,False
ULT-DAI-CHO-113,Ultra Milk,economy,Dairy,Ultra Milk Dairy Chocolate,Chocolate,200ml,13055,2023,False
ULT-DAI-FUL-548,Ultra Milk,economy,Dairy,Ultra Milk Dairy Full Cream,Full Cream,500ml,13563,2023,False
ULT-DAI-FUL-246,Ultra Milk,economy,Dairy,Ultra Milk Dairy Full Cream,Full Cream,125ml,11468,2021,False
ULT-DAI-VAN-859,Ultra Milk,economy,Dairy,Ultra Milk Dairy Vanilla,Vanilla,125ml,7764,2018,False
AQU-BEV-SUG-305,Aqua,premium,Beverages,Aqua Beverages Sugar-Free,Sugar-Free,500ml,63991,2024,False
AQU-BEV-ORI-958,Aqua,premium,Beverages,Aqua Beverages Original,Original,350ml,52833,2023,False
AQU-BEV-LIG-707,Aqua,premium,Beverages,Aqua Beverages Light,Light,1.5L,42889,2024,False
AQU-BEV-LIG-782,Aqua,premium,Beverages,Aqua Beverages Light,Light,1L,64529,2021,False
SUN-PER-SEN-210,Sunsilk,premium,Personal Care,Sunsilk Personal Care Sensitive,Sensitive,250ml,33007,2020,False
SUN-PER-ANT-743,Sunsilk,premium,Personal Care,Sunsilk Personal Care Anti-Aging,Anti-Aging,150ml,33821,2018,True
SUN-PER-REG-610,Sunsilk,premium,Personal Care,Sunsilk Personal Care Regular,Regular,100ml,69440,2018,True
SUN-PER-ANT-795,Sunsilk,premium,Personal Care,Sunsilk Personal Care Anti-Aging,Anti-Aging,300ml,46427,2019,False
MAR-CON-REG-869,Mars,economy,Confectionery,Mars Confectionery Regular,Regular,500ml,13518,2024,False
MAR-CON-PRE-306,Mars,economy,Confectionery,Mars Confectionery Premium,Premium,200g,9809,2023,False
IND-CON-PRE-367,Indofood,economy,Condiments,Indofood Condiments Premium,Premium,500ml,13887,2020,False
IND-CON-SPE-118,Indofood,economy,Condiments,Indofood Condiments Special,Special,500ml,5517,2021,False
IND-CON-REG-560,Indofood,economy,Condiments,Indofood Condiments Regular,Regular,200g,10153,2024,False
IND-CON-PRE-570,Indofood,economy,Condiments,Indofood Condiments Premium,Premium,200g,5589,2018,False
IND-CON-REG-775,Indofood,economy,Condiments,Indofood Condiments Regular,Regular,500ml,9965,2023,False
MON-CON-PRE-237,Mondelez,mass,Confectionery,Mondelez Confectionery Premium,Premium,200g,20238,2023,False
MON-CON-PRE-882,Mondelez,mass,Confectionery,Mondelez Confectionery Premium,Premium,200g,13584,2022,False
MON-CON-SPE-775,Mondelez,mass,Confectionery,Mondelez Confectionery Special,Special,200g,28146,2023,False
WAR-PER-ANT-974,Wardah,premium,Personal Care,Wardah Personal Care Anti-Aging,Anti-Aging,300ml,35243,2022,True
WAR-PER-ANT-606,Wardah,premium,Personal Care,Wardah Personal Care Anti-Aging,Anti-Aging,200ml,63734,2021,False
WAR-PER-WHI-162,Wardah,premium,Personal Care,Wardah Personal Care Whitening,Whitening,200ml,26844,2022,True
WAR-PER-SEN-457,Wardah,premium,Personal Care,Wardah Personal Care Sensitive,Sensitive,200ml,73631,2022,True
WAR-PER-WHI-199,Wardah,premium,Personal Care,Wardah Personal Care Whitening,Whitening,250ml,53059,2020,False
ORA-PER-WHI-777,Oral-B,premium,Personal Care,Oral-B Personal Care Whitening,Whitening,100ml,41005,2019,True
ORA-PER-WHI-186,Oral-B,premium,Personal Care,Oral-B Personal Care Whitening,Whitening,300ml,70088,2018,False
ORA-PER-REG-273,Oral-B,premium,Personal Care,Oral-B Personal Care Regular,Regular,200ml,26291,2022,False
ORA-PER-REG-773,Oral-B,premium,Personal Care,Oral-B Personal Care Regular,Regular,250ml,52687,2022,False
ORA-PER-WHI-812,Oral-B,premium,Personal Care,Oral-B Personal Care Whitening,Whitening,100ml,55782,2022,True
IND-INS-SEA-430,Indomie,premium,Instant Noodles,Indomie Instant Noodles Seafood,Seafood,120g,62521,2018,False
IND-INS-ORI-444,Indomie,premium,Instant Noodles,Indomie Instant Noodles Original,Original,85g,57553,2022,False
IND-INS-CHI-472,Indomie,premium,Instant Noodles,Indomie Instant Noodles Chicken,Chicken,90g,53573,2019,False
IND-INS-ORI-394,Indomie,premium,Instant Noodles,Indomie Instant Noodles Original,Original,85g,42377,2018,False
NIV-PER-SEN-860,Nivea,economy,Personal Care,Nivea Personal Care Sensitive,Sensitive,300ml,6506,2023,False
NIV-PER-NAT-706,Nivea,economy,Personal Care,Nivea Personal Care Natural,Natural,100ml,10518,2020,False
NIV-PER-REG-920,Nivea,economy,Personal Care,Nivea Personal Care Regular,Regular,300ml,13700,2021,False
NIV-PER-ANT-455,Nivea,economy,Personal Care,Nivea Personal Care Anti-Aging,Anti-Aging,150ml,6256,2023,False
NIV-PER-WHI-923,Nivea,economy,Personal Care,Nivea Personal Care Whitening,Whitening,300ml,9913,2021,False
MON-SNA-BBQ-511,Mondelez,premium,Snacks,Mondelez Snacks BBQ,BBQ,150g,41466,2022,False
MON-SNA-FAM-119,Mondelez,premium,Snacks,Mondelez Snacks Family Pack,Family Pack,75g,66146,2023,True
MON-SNA-FAM-318,Mondelez,premium,Snacks,Mondelez Snacks Family Pack,Family Pack,150g,68306,2024,False
MON-SNA-CHE-928,Mondelez,premium,Snacks,Mondelez Snacks Cheese,Cheese,200g,65266,2024,False
COC-BEV-PRE-473,Coca-Cola,premium,Beverages,Coca-Cola Beverages Premium,Premium,350ml,55309,2019,True
COC-BEV-SUG-964,Coca-Cola,premium,Beverages,Coca-Cola Beverages Sugar-Free,Sugar-Free,500ml,53533,2021,False
UNI-BEA-NIG-373,Unilever,premium,Beauty,Unilever Beauty Night Cream,Night Cream,150ml,43811,2023,True
UNI-BEA-SER-515,Unilever,premium,Beauty,Unilever Beauty Serum,Serum,50ml,40629,2018,True
MUS-BEA-DAY-916,Mustika Ratu,premium,Beauty,Mustika Ratu Beauty Day Cream,Day Cream,50ml,45351,2021,False
MUS-BEA-MOI-532,Mustika Ratu,premium,Beauty,Mustika Ratu Beauty Moisturizer,Moisturizer,150ml,67396,2018,True
MUS-BEA-NIG-239,Mustika Ratu,premium,Beauty,Mustika Ratu Beauty Night Cream,Night Cream,100ml,26909,2020,False
SID-BEV-ORI-901,Sido Muncul,premium,Beverages,Sido Muncul Beverages Original,Original,1L,26304,2018,True
SID-BEV-LIG-405,Sido Muncul,premium,Beverages,Sido Muncul Beverages Light,Light,1.5L,29166,2021,False
SID-BEV-ORI-959,Sido Muncul,premium,Beverages,Sido Muncul Beverages Original,Original,1L,72463,2024,True
L'O-PER-REG-852,L'Oréal,premium,Personal Care,L'Oréal Personal Care Regular,Regular,300ml,57784,2018,False
L'O-PER-ANT-343,L'Oréal,premium,Personal Care,L'Oréal Personal Care Anti-Aging,Anti-Aging,100ml,64309,2018,False
L'O-PER-WHI-854,L'Oréal,premium,Personal Care,L'Oréal Personal Care Whitening,Whitening,300ml,50555,2024,True
VAS-PER-SEN-209,Vaseline,mass,Personal Care,Vaseline Personal Care Sensitive,Sensitive,150ml,15739,2019,False
VAS-PER-WHI-518,Vaseline,mass,Personal Care,Vaseline Personal Care Whitening,Whitening,250ml,18333,2024,False
VAS-PER-NAT-602,Vaseline,mass,Personal Care,Vaseline Personal Care Natural,Natural,100ml,27480,2020,False
VAS-PER-REG-658,Vaseline,mass,Personal Care,Vaseline Personal Care Regular,Regular,200ml,23886,2021,False
VAS-PER-SEN-903,Vaseline,mass,Personal Care,Vaseline Personal Care Sensitive,Sensitive,200ml,14748,2020,False
YAK-HEA-SPE-941,Yakult,premium,Health Supplements,Yakult Health Supplements Special,Special,200g,45196,2018,True
YAK-HEA-SPE-918,Yakult,premium,Health Supplements,Yakult Health Supplements Special,Special,500ml,28583,2023,True
YAK-HEA-PRE-493,Yakult,premium,Health Supplements,Yakult Health Supplements Premium,Premium,500ml,45268,2023,False
YAK-HEA-SPE-647,Yakult,premium,Health Supplements,Yakult Health Supplements Special,Special,100g,40491,2024,False
YAK-HEA-PRE-502,Yakult,premium,Health Supplements,Yakult Health Supplements Premium,Premium,100g,41746,2020,True
ORA-PER-WHI-980,Oral-B,mass,Personal Care,Oral-B Personal Care Whitening,Whitening,150ml,15250,2021,False
ORA-PER-WHI-908,Oral-B,mass,Personal Care,Oral-B Personal Care Whitening,Whitening,250ml,11110,2020,False
ORA-PER-REG-582,Oral-B,mass,Personal Care,Oral-B Personal Care Regular,Regular,250ml,23531,2024,False
P&G-HOM-LEM-944,P&G,mass,Home Care,P&G Home Care Lemon,Lemon,500ml,15254,2023,False
P&G-HOM-FRE-460,P&G,mass,Home Care,P&G Home Care Fresh,Fresh,500ml,23791,2022,False
P&G-HOM-LAV-564,P&G,mass,Home Care,P&G Home Care Lavender,Lavender,1L,10896,2024,False
P&G-HOM-REG-745,P&G,mass,Home Care,P&G Home Care Regular,Regular,800ml,24529,2024,False
MUS-PER-REG-304,Mustika Ratu,premium,Personal Care,Mustika Ratu Personal Care Regular,Regular,250ml,66176,2020,False
MUS-PER-NAT-213,Mustika Ratu,premium,Personal Care,Mustika Ratu Personal Care Natural,Natural,100ml,35343,2019,True
MUS-PER-NAT-911,Mustika Ratu,premium,Personal Care,Mustika Ratu Personal Care Natural,Natural,250ml,45932,2021,False
SID-TRA-PRE-803,Sido Muncul,premium,Traditional Medicine,Sido Muncul Traditional Medicine Premium,Premium,100g,63864,2024,False
SID-TRA-PRE-186,Sido Muncul,premium,Traditional Medicine,Sido Muncul Traditional Medicine Premium,Premium,100g,52164,2020,True
SID-TRA-PRE-954,Sido Muncul,premium,Traditional Medicine,Sido Muncul Traditional Medicine Premium,Premium,200g,62381,2019,True
COC-BEV-PRE-741,Coca-Cola,mass,Beverages,Coca-Cola Beverages Premium,Premium,1.5L,17494,2018,False
COC-BEV-EXT-368,Coca-Cola,mass,Beverages,Coca-Cola Beverages Extra,Extra,350ml,15529,2018,False
ULT-DAI-VAN-714,Ultra Milk,mass,Dairy,Ultra Milk Dairy Vanilla,Vanilla,500ml,18524,2019,False
ULT-DAI-FUL-274,Ultra Milk,mass,Dairy,Ultra Milk Dairy Full Cream,Full Cream,250ml,28587,2018,False
ULT-DAI-FUL-545,Ultra Milk,mass,Dairy,Ultra Milk Dairy Full Cream,Full Cream,1L,24867,2024,False
ULT-DAI-STR-329,Ultra Milk,mass,Dairy,Ultra Milk Dairy Strawberry,Strawberry,125ml,16656,2019,False
ULT-DAI-CHO-864,Ultra Milk,mass,Dairy,Ultra Milk Dairy Chocolate,Chocolate,250ml,26192,2021,False
NES-BEV-EXT-714,Nestlé,mass,Beverages,Nestlé Beverages Extra,Extra,350ml,17063,2024,False
NES-BEV-LIG-528,Nestlé,mass,Beverages,Nestlé Beverages Light,Light,350ml,15910,2021,False
NES-BEV-SUG-397,Nestlé,mass,Beverages,Nestlé Beverages Sugar-Free,Sugar-Free,250ml,18578,2019,False
NIV-PER-SEN-696,Nivea,premium,Personal Care,Nivea Personal Care Sensitive,Sensitive,200ml,69844,2023,False
NIV-PER-REG-580,Nivea,premium,Personal Care,Nivea Personal Care Regular,Regular,100ml,33729,2024,False
NIV-PER-ANT-830,Nivea,premium,Personal Care,Nivea Personal Care Anti-Aging,Anti-Aging,150ml,50132,2023,False
NIV-PER-NAT-174,Nivea,premium,Personal Care,Nivea Personal Care Natural,Natural,200ml,31244,2022,True
NIV-PER-REG-340,Nivea,premium,Personal Care,Nivea Personal Care Regular,Regular,200ml,55863,2020,True
ABC-BEV-LIG-734,ABC,mass,Beverages,ABC Beverages Light,Light,1.5L,22482,2020,False
ABC-BEV-EXT-235,ABC,mass,Beverages,ABC Beverages Extra,Extra,500ml,28335,2018,False
SID-HEA-PRE-615,Sido Muncul,economy,Health Supplements,Sido Muncul Health Supplements Premium,Premium,100g,13074,2020,False
SID-HEA-PRE-191,Sido Muncul,economy,Health Supplements,Sido Muncul Health Supplements Premium,Premium,100g,10198,2023,False
SID-HEA-SPE-245,Sido Muncul,economy,Health Supplements,Sido Muncul Health Supplements Special,Special,200g,9266,2018,False
MUS-PER-REG-611,Mustika Ratu,economy,Personal Care,Mustika Ratu Personal Care Regular,Regular,150ml,9603,2023,False
MUS-PER-WHI-389,Mustika Ratu,economy,Personal Care,Mustika Ratu Personal Care Whitening,Whitening,250ml,9312,2022,False
MUS-PER-WHI-420,Mustika Ratu,economy,Personal Care,Mustika Ratu Personal Care Whitening,Whitening,300ml,12139,2019,False
MUS-PER-WHI-882,Mustika Ratu,economy,Personal Care,Mustika Ratu Personal Care Whitening,Whitening,250ml,7478,2022,False
COL-PER-REG-252,Colgate,premium,Personal Care,Colgate Personal Care Regular,Regular,150ml,28576,2019,True
COL-PER-REG-366,Colgate,premium,Personal Care,Colgate Personal Care Regular,Regular,250ml,35718,2023,False
