promo_id,headline,touchpoint,category,brand,brand_tier,sku,period,campaign_objective,budget_tier,budget_million_idr,duration_days,target_age_group,target_income_level,target_region,color_scheme,imagery_type,cta_style,tone,promo_type,kpi_lift,kpi_roi,ctr,conversion_rate,engagement_rate,roas,headline_length,description,description_length,kpi_lift_quartile,kpi_roi_quartile
PROMO011,DISKON 50% - Terbatas!,digital,Beverages,PepsiCo,premium,PEP-BEV-540,2025-Q2,retention,medium,1631,14,18-25,Middle,Depok,Red-Bold,Festival,Professional,Fun,discount,0.247,3.8,0.1061,0.104,0.166,3.8,22,Discount campaign for PepsiCo Beverages targeting 18-25 demographic in Depok,76,Medium-Low,Medium-Low
PROMO012,HEMAT 50% - Super Value!,digital,Instant Noodles,Indomie,mass,IND-INS-914,2025-Q2,retention,low,206,90,46-55,Low,Tangerang,Blue-Trust,Lifestyle,Playful,Friendly,discount,0.116,3.1,0.0146,0.142,0.196,2.7,24,Discount campaign for Indomie Instant Noodles targeting 46-55 demographic in Tangerang,86,Low,Low
PROMO013,BUNDLE DEAL - Hemat Lebih!,flyer,Personal Care,Unilever,premium,UNI-PER-101,2024-Q4,acquisition,medium,1951,30,55+,Low,Palembang,Orange-Warm,Lifestyle,Professional,Exciting,bundle,0.261,5.3,0.0619,0.119,0.212,4.4,26,Bundle campaign for Unilever Personal Care targeting 55+ demographic in Palembang,81,Medium-Low,Medium-High
PROMO014,HEMAT 30% - Best Deal!,in-store,Personal Care,Vaseline,premium,VAS-PER-576,2025-Q3,retention,medium,1840,21,36-45,Upper-Middle,Medan,Yellow-Energy,Festival,Authoritative,Fun,discount,0.2,2.8,0.0915,0.131,0.151,2.3,22,Discount campaign for Vaseline Personal Care targeting 36-45 demographic in Medan,81,Low,Low
PROMO015,KOMPETISI Kirim Video - Hadiah Mingguan!,digital,Beauty,Dove,mass,DOV-BEA-105,2024-Q3,conversion,medium,1843,60,55+,Middle,Palembang,Yellow-Energy,Celebrity,Friendly,Trustworthy,contest,0.352,4.8,0.0733,0.123,0.273,4.7,40,Contest campaign for Dove Beauty targeting 55+ demographic in Palembang,71,Medium-High,Medium-High
PROMO016,SPECIAL 20% DISCOUNT - Limited Time!,tv,Beverages,Teh Botol Sosro,economy,TEH-BEV-427,2024-Q3,awareness,medium,1056,21,26-35,Upper-Middle,Tangerang,Red-Bold,Minimalist,Professional,Trustworthy,discount,0.195,4.0,0.0708,0.104,0.229,4.0,36,Discount campaign for Teh Botol Sosro Beverages targeting 26-35 demographic in Tangerang,88,Low,Medium-Low
PROMO017,DAPAT CASHBACK Rp 5000 - Weekend Special!,digital,Condiments,ABC,economy,ABC-CON-444,2024-Q4,conversion,high,2237,30,46-55,Middle,Tangerang,Blue-Trust,Family,Playful,Premium,cashback,0.445,5.3,0.0147,0.042,0.07,5.6,41,Cashback campaign for ABC Condiments targeting 46-55 demographic in Tangerang,77,High,Medium-High
PROMO018,CASHBACK SPECIAL - Stok Terbatas!,in-store,Personal Care,Oral-B,economy,ORA-PER-329,2025-Q1,conversion,premium,13413,21,46-55,Upper-Middle,Surabaya,Yellow-Energy,Product-Focus,Emotional,Fun,cashback,0.353,5.4,0.0882,0.063,0.158,6.0,33,Cashback campaign for Oral-B Personal Care targeting 46-55 demographic in Surabaya,82,Medium-High,Medium-High
PROMO019,BELI 2 GRATIS 2 - Hemat Lebih!,digital,Condiments,Indofood,mass,IND-CON-177,2025-Q2,conversion,low,416,14,55+,Low,Semarang,Orange-Warm,Minimalist,Playful,Premium,bogo,0.258,3.1,0.0291,0.039,0.227,3.5,30,Bogo campaign for Indofood Condiments targeting 55+ demographic in Semarang,75,Medium-Low,Low
PROMO020,GRATIS Sample - Member Khusus!,flyer,Personal Care,P&G,mass,P&G-PER-848,2024-Q4,upselling,high,5568,90,26-35,Upper-Middle,Bekasi,Black-Elegant,Animation,Playful,Premium,free_gift,0.255,4.5,0.0689,0.046,0.238,4.5,30,Free_Gift campaign for P&G Personal Care targeting 26-35 demographic in Bekasi,78,Medium-Low,Medium-High
PROMO021,CASHBACK SPECIAL - Terbatas!,in-store,Beverages,Coca-Cola,economy,COC-BEV-807,2024-Q4,awareness,low,438,14,26-35,Low,Medan,Purple-Premium,Celebrity,Playful,Fun,cashback,0.199,2.5,0.0206,0.022,0.061,2.4,28,Cashback campaign for Coca-Cola Beverages targeting 26-35 demographic in Medan,78,Low,Low
PROMO022,BUY 2 GET 2 FREE - Lifebuoy Personal Care!,digital,Personal Care,Lifebuoy,premium,LIF-PER-878,2025-Q1,awareness,low,420,45,18-25,Middle,Medan,Blue-Trust,Minimalist,Playful,Friendly,bogo,0.391,4.7,0.0131,0.108,0.167,4.2,42,Bogo campaign for Lifebuoy Personal Care targeting 18-25 demographic in Medan,77,Medium-High,Medium-High
PROMO023,PAKET HEMAT - Vaseline + Travel Size!,digital,Personal Care,Vaseline,economy,VAS-PER-603,2025-Q1,conversion,low,83,30,26-35,Low,Semarang,Black-Elegant,Celebrity,Urgent,Caring,bundle,0.181,3.1,0.0584,0.048,0.118,3.3,37,Bundle campaign for Vaseline Personal Care targeting 26-35 demographic in Semarang,82,Low,Low
PROMO024,PAKET HEMAT - Indofood + Extra Size!,in-store,Condiments,Indofood,mass,IND-CON-176,2025-Q2,conversion,low,138,45,26-35,Middle,Semarang,Purple-Premium,Product-Focus,Friendly,Trustworthy,bundle,0.247,4.7,0.0619,0.042,0.12,4.4,36,Bundle campaign for Indofood Condiments targeting 26-35 demographic in Semarang,79,Medium-Low,Medium-High
PROMO025,COMBO SPECIAL - Triple Save!,digital,Beauty,Wardah,economy,WAR-BEA-378,2025-Q1,retention,low,408,30,55+,Upper-Middle,Tangerang,Red-Bold,Celebrity,Emotional,Friendly,bundle,0.11,1.6,0.0405,0.066,0.046,1.4,28,Bundle campaign for Wardah Beauty targeting 55+ demographic in Tangerang,72,Low,Low
PROMO026,DISKON 25% - Stok Terbatas!,in-store,Personal Care,Clear,premium,CLE-PER-437,2025-Q2,acquisition,high,9026,14,46-55,Upper-Middle,Palembang,Green-Fresh,Family,Emotional,Exciting,discount,0.729,6.7,0.034,0.141,0.4,6.0,27,Discount campaign for Clear Personal Care targeting 46-55 demographic in Palembang,82,High,High
PROMO027,BUNDLE DEAL - Hemat Lebih!,digital,Personal Care,Pantene,mass,PAN-PER-723,2025-Q1,upselling,low,64,60,55+,Middle,Semarang,Yellow-Energy,Minimalist,Playful,Exciting,bundle,0.241,3.9,0.0256,0.11,0.119,4.1,26,Bundle campaign for Pantene Personal Care targeting 55+ demographic in Semarang,79,Medium-Low,Medium-Low
PROMO028,SPECIAL 15% DISCOUNT - Flash Sale!,digital,Beauty,P&G,premium,P&G-BEA-940,2024-Q4,upselling,medium,1539,21,26-35,Low,Semarang,Black-Elegant,Festival,Playful,Friendly,discount,0.382,5.8,0.0255,0.201,0.178,5.1,34,Discount campaign for P&G Beauty targeting 26-35 demographic in Semarang,72,Medium-High,High
PROMO029,BUY 2 GET 2 FREE - Wings Personal Care!,in-store,Personal Care,Wings,premium,WIN-PER-990,2024-Q4,upselling,medium,1708,21,46-55,High,Bandung,Yellow-Energy,Product-Focus,Friendly,Fun,bogo,0.203,4.9,0.0747,0.029,0.198,4.4,39,Bogo campaign for Wings Personal Care targeting 46-55 demographic in Bandung,76,Low,Medium-High
PROMO030,MENANG Voucher 1 Juta - Kirim Video!,digital,Beverages,Teh Botol Sosro,economy,TEH-BEV-748,2024-Q3,awareness,high,2806,90,18-25,Middle,Semarang,Blue-Trust,Minimalist,Urgent,Premium,contest,0.348,3.4,0.0728,0.088,0.296,2.9,36,Contest campaign for Teh Botol Sosro Beverages targeting 18-25 demographic in Semarang,86,Medium-High,Medium-Low
PROMO031,BUNDLE DEAL - Super Value!,flyer,Beverages,Teh Botol Sosro,economy,TEH-BEV-394,2025-Q2,awareness,low,461,30,26-35,High,Semarang,Yellow-Energy,Family,Emotional,Exciting,bundle,0.112,1.5,0.0383,0.069,0.052,1.5,26,Bundle campaign for Teh Botol Sosro Beverages targeting 26-35 demographic in Semarang,85,Low,Low
PROMO032,CONTEST Foto Kreativ - Smartphone!,radio,Beauty,Wardah,economy,WAR-BEA-608,2024-Q4,upselling,low,360,60,36-45,Low,Bekasi,Black-Elegant,Minimalist,Emotional,Exciting,contest,0.157,2.2,0.0271,0.03,0.04,2.5,34,Contest campaign for Wardah Beauty targeting 36-45 demographic in Bekasi,72,Low,Low
PROMO033,KOMPETISI Share Post - Total 100 Juta!,in-store,Beverages,PepsiCo,mass,PEP-BEV-402,2025-Q2,conversion,medium,1486,90,55+,Upper-Middle,Depok,Orange-Warm,Family,Friendly,Friendly,contest,0.47,4.9,0.0337,0.065,0.195,5.7,38,Contest campaign for PepsiCo Beverages targeting 55+ demographic in Depok,73,High,Medium-High
PROMO034,KOMPETISI Kirim Video - Hadiah Mingguan!,digital,Confectionery,Mars,premium,MAR-CON-326,2024-Q3,conversion,high,4687,45,36-45,Low,Medan,Yellow-Energy,Product-Focus,Authoritative,Fun,contest,0.8,8.0,0.1114,0.063,0.167,10.0,40,Contest campaign for Mars Confectionery targeting 36-45 demographic in Medan,76,High,High
PROMO035,DISKON 30% - Jangan Terlewat!,digital,Condiments,Indofood,premium,IND-CON-341,2025-Q2,retention,medium,1408,30,46-55,High,Semarang,Red-Bold,Minimalist,Professional,Trustworthy,discount,0.298,3.1,0.0267,0.166,0.08,2.7,29,Discount campaign for Indofood Condiments targeting 46-55 demographic in Semarang,81,Medium-High,Low
PROMO036,PAKET HEMAT - Colgate + Travel Size!,radio,Personal Care,Colgate,economy,COL-PER-710,2025-Q1,retention,medium,802,90,18-25,Middle,Bekasi,Blue-Trust,Festival,Friendly,Friendly,bundle,0.131,2.2,0.0401,0.035,0.139,2.0,36,Bundle campaign for Colgate Personal Care targeting 18-25 demographic in Bekasi,79,Low,Low
PROMO037,BELI 1 GRATIS 2 - Hemat Lebih!,in-store,Personal Care,Wings,premium,WIN-PER-729,2025-Q2,conversion,premium,43019,14,46-55,High,Makassar,Orange-Warm,Animation,Urgent,Premium,bogo,0.58,8.0,0.1082,0.25,0.354,10.0,30,Bogo campaign for Wings Personal Care targeting 46-55 demographic in Makassar,77,High,High
PROMO038,DISKON 70% - Jangan Terlewat!,in-store,Beverages,Kalbe,premium,KAL-BEV-540,2024-Q3,upselling,medium,1535,45,55+,Upper-Middle,Palembang,Orange-Warm,Animation,Professional,Premium,discount,0.213,4.5,0.0371,0.067,0.318,4.3,29,Discount campaign for Kalbe Beverages targeting 55+ demographic in Palembang,76,Low,Medium-High
PROMO039,CASHBACK 50% - Mega Hemat!,digital,Beverages,Teh Botol Sosro,premium,TEH-BEV-161,2025-Q2,upselling,high,3065,45,18-25,High,Surabaya,Purple-Premium,Minimalist,Professional,Caring,cashback,0.576,7.9,0.12,0.173,0.335,7.8,26,Cashback campaign for Teh Botol Sosro Beverages targeting 18-25 demographic in Surabaya,87,High,High
PROMO040,PAKET HEMAT - Mars + Travel Size!,in-store,Confectionery,Mars,mass,MAR-CON-379,2024-Q3,awareness,premium,11897,14,55+,Low,Bekasi,Purple-Premium,Festival,Emotional,Friendly,bundle,0.284,5.4,0.0445,0.035,0.269,4.7,33,Bundle campaign for Mars Confectionery targeting 55+ demographic in Bekasi,74,Medium-Low,Medium-High
PROMO041,BELI 2 DAPAT 2 - Stok Terbatas!,digital,Personal Care,Johnson & Johnson,premium,JOH-PER-552,2025-Q2,conversion,medium,1494,45,55+,Low,Surabaya,Green-Fresh,Celebrity,Emotional,Premium,bogo,0.752,8.0,0.1155,0.106,0.083,10.0,31,Bogo campaign for Johnson & Johnson Personal Care targeting 55+ demographic in Surabaya,87,High,High
PROMO042,KOMPETISI Share Post - Total 100 Juta!,digital,Personal Care,Pantene,premium,PAN-PER-672,2025-Q3,retention,medium,971,45,46-55,High,Bandung,Blue-Trust,Celebrity,Authoritative,Serious,contest,0.256,5.4,0.12,0.204,0.17,5.1,38,Contest campaign for Pantene Personal Care targeting 46-55 demographic in Bandung,81,Medium-Low,Medium-High
PROMO043,COMBO SPECIAL - Double Value!,tv,Confectionery,Mondelez,premium,MON-CON-863,2025-Q2,acquisition,low,495,21,26-35,High,Bekasi,Yellow-Energy,Animation,Urgent,Premium,bundle,0.612,6.0,0.0318,0.135,0.345,6.5,29,Bundle campaign for Mondelez Confectionery targeting 26-35 demographic in Bekasi,80,High,High
PROMO044,GRATIS Sticker - Pembelian Minimal!,digital,Confectionery,Mars,premium,MAR-CON-254,2024-Q4,awareness,medium,1784,21,46-55,High,Bekasi,Purple-Premium,Minimalist,Authoritative,Friendly,free_gift,0.412,4.1,0.0828,0.232,0.122,4.2,35,Free_Gift campaign for Mars Confectionery targeting 46-55 demographic in Bekasi,79,Medium-High,Medium-Low
PROMO045,HEMAT 70% - Hemat Lebih!,digital,Personal Care,Dove,mass,DOV-PER-254,2024-Q3,retention,medium,1474,45,18-25,High,Bekasi,Purple-Premium,Lifestyle,Professional,Fun,discount,0.278,3.7,0.0705,0.134,0.146,3.4,24,Discount campaign for Dove Personal Care targeting 18-25 demographic in Bekasi,78,Medium-Low,Medium-Low
PROMO046,BELI 2 DAPAT 2 - Jangan Terlewat!,digital,Traditional Medicine,Sido Muncul,economy,SID-TRA-183,2025-Q2,awareness,medium,807,21,55+,High,Semarang,Green-Fresh,Minimalist,Emotional,Fun,bogo,0.299,3.6,0.0679,0.133,0.146,3.6,33,Bogo campaign for Sido Muncul Traditional Medicine targeting 55+ demographic in Semarang,88,Medium-High,Medium-Low
PROMO047,COMBO SPECIAL - Double Value!,tv,Dairy,Ultra Milk,economy,ULT-DAI-856,2025-Q2,conversion,medium,1605,90,26-35,Low,Semarang,Black-Elegant,Festival,Urgent,Fun,bundle,0.492,5.5,0.0662,0.138,0.255,5.2,29,Bundle campaign for Ultra Milk Dairy targeting 26-35 demographic in Semarang,76,High,Medium-High
PROMO048,KOMPETISI Kirim Video - Hadiah Mingguan!,digital,Personal Care,Vaseline,premium,VAS-PER-265,2025-Q1,upselling,medium,1580,30,36-45,High,Tangerang,Black-Elegant,Family,Playful,Fun,contest,0.322,4.6,0.0787,0.038,0.223,4.7,40,Contest campaign for Vaseline Personal Care targeting 36-45 demographic in Tangerang,84,Medium-High,Medium-High
PROMO049,GRATIS Tumbler - Pembelian Minimal!,flyer,Beverages,Aqua,premium,AQU-BEV-201,2025-Q2,awareness,medium,557,21,46-55,Upper-Middle,Medan,Yellow-Energy,Product-Focus,Professional,Trustworthy,free_gift,0.216,3.5,0.0126,0.026,0.223,3.3,35,Free_Gift campaign for Aqua Beverages targeting 46-55 demographic in Medan,74,Medium-Low,Medium-Low
PROMO050,CONTEST Foto Kreativ - Smartphone!,digital,Confectionery,Mars,mass,MAR-CON-956,2025-Q2,acquisition,medium,628,7,18-25,Middle,Palembang,Purple-Premium,Festival,Authoritative,Premium,contest,0.33,5.5,0.0767,0.058,0.209,4.5,34,Contest campaign for Mars Confectionery targeting 18-25 demographic in Palembang,80,Medium-High,Medium-High
PROMO051,PAKET HEMAT - Sunsilk + Extra Size!,digital,Personal Care,Sunsilk,premium,SUN-PER-659,2025-Q1,conversion,low,72,21,26-35,Low,Bekasi,Purple-Premium,Festival,Professional,Trustworthy,bundle,0.269,5.7,0.0597,0.128,0.244,6.8,35,Bundle campaign for Sunsilk Personal Care targeting 26-35 demographic in Bekasi,79,Medium-Low,High
PROMO052,BELI 1 GRATIS 1 - Hemat Lebih!,in-store,Confectionery,Mars,economy,MAR-CON-227,2024-Q3,acquisition,premium,31753,21,26-35,Upper-Middle,Makassar,Black-Elegant,Festival,Urgent,Caring,bogo,0.424,5.0,0.0788,0.066,0.165,4.1,30,Bogo campaign for Mars Confectionery targeting 26-35 demographic in Makassar,76,High,Medium-High
PROMO053,BUY 2 GET 1 FREE - Colgate Personal Care!,digital,Personal Care,Colgate,economy,COL-PER-557,2025-Q1,acquisition,high,5636,21,36-45,High,Bekasi,Purple-Premium,Celebrity,Friendly,Serious,bogo,0.318,6.8,0.0855,0.138,0.164,5.9,41,Bogo campaign for Colgate Personal Care targeting 36-45 demographic in Bekasi,77,Medium-High,High
PROMO054,MENANG Trip Bali - Upload Foto!,digital,Beverages,Kalbe,premium,KAL-BEV-881,2024-Q4,retention,medium,1261,30,46-55,Low,Bekasi,Blue-Trust,Minimalist,Playful,Friendly,contest,0.193,3.7,0.0756,0.176,0.284,3.4,31,Contest campaign for Kalbe Beverages targeting 46-55 demographic in Bekasi,74,Low,Medium-Low
PROMO055,DISKON 20% - Jangan Terlewat!,digital,Condiments,Indofood,economy,IND-CON-427,2025-Q2,acquisition,medium,1896,90,18-25,High,Bandung,Purple-Premium,Celebrity,Urgent,Caring,discount,0.423,4.8,0.0469,0.096,0.129,4.3,29,Discount campaign for Indofood Condiments targeting 18-25 demographic in Bandung,80,High,Medium-High
PROMO056,KOMPETISI Kirim Video - Grand Prize!,in-store,Confectionery,Mondelez,mass,MON-CON-520,2025-Q2,retention,high,5921,45,55+,Low,Surabaya,Green-Fresh,Celebrity,Emotional,Serious,contest,0.199,4.1,0.0143,0.046,0.077,3.3,36,Contest campaign for Mondelez Confectionery targeting 55+ demographic in Surabaya,81,Low,Medium-Low
PROMO057,PAKET HEMAT - Pantene + Extra Size!,in-store,Personal Care,Pantene,mass,PAN-PER-195,2025-Q2,awareness,medium,1758,45,36-45,Middle,Depok,Green-Fresh,Lifestyle,Emotional,Friendly,bundle,0.321,3.6,0.0432,0.033,0.148,3.5,35,Bundle campaign for Pantene Personal Care targeting 36-45 demographic in Depok,78,Medium-High,Medium-Low
PROMO058,FREE Tumbler - Akhir Bulan!,in-store,Personal Care,Clear,premium,CLE-PER-525,2024-Q4,conversion,medium,823,30,26-35,High,Semarang,Yellow-Energy,Product-Focus,Emotional,Exciting,free_gift,0.328,5.6,0.0493,0.13,0.23,4.6,27,Free_Gift campaign for Clear Personal Care targeting 26-35 demographic in Semarang,82,Medium-High,Medium-High
PROMO059,BUNDLE DEAL - Hemat Lebih!,digital,Personal Care,Lifebuoy,premium,LIF-PER-881,2024-Q3,retention,high,4561,14,46-55,Middle,Bandung,Black-Elegant,Family,Authoritative,Serious,bundle,0.317,6.0,0.0917,0.25,0.369,5.2,26,Bundle campaign for Lifebuoy Personal Care targeting 46-55 demographic in Bandung,81,Medium-High,High
PROMO060,DISKON 50% - Jangan Terlewat!,digital,Personal Care,Wardah,premium,WAR-PER-146,2025-Q2,acquisition,medium,1325,21,18-25,High,Bandung,Green-Fresh,Minimalist,Professional,Caring,discount,0.412,7.5,0.0185,0.15,0.371,7.7,29,Discount campaign for Wardah Personal Care targeting 18-25 demographic in Bandung,81,Medium-High,High
PROMO061,FREE Tas - Akhir Bulan!,digital,Personal Care,Oral-B,premium,ORA-PER-627,2025-Q2,retention,medium,805,45,18-25,Middle,Makassar,Black-Elegant,Celebrity,Authoritative,Premium,free_gift,0.247,4.6,0.0656,0.142,0.372,4.4,23,Free_Gift campaign for Oral-B Personal Care targeting 18-25 demographic in Makassar,83,Medium-Low,Medium-High
PROMO062,CONTEST Story Instagram - Hadiah Jutaan!,outdoor,Instant Noodles,Indomie,premium,IND-INS-734,2025-Q1,retention,low,372,60,55+,Middle,Jakarta,Orange-Warm,Celebrity,Friendly,Fun,contest,0.178,2.4,0.0173,0.021,0.051,2.0,40,Contest campaign for Indomie Instant Noodles targeting 55+ demographic in Jakarta,81,Low,Low
PROMO063,SALE 10% OFF - Nivea Personal Care!,tv,Personal Care,Nivea,economy,NIV-PER-450,2024-Q4,conversion,low,285,45,26-35,Upper-Middle,Tangerang,Orange-Warm,Celebrity,Professional,Trustworthy,discount,0.205,4.5,0.0134,0.055,0.196,3.7,35,Discount campaign for Nivea Personal Care targeting 26-35 demographic in Tangerang,82,Low,Medium-High
PROMO064,BUNDLE DEAL - Best Deal!,digital,Snacks,Mondelez,premium,MON-SNA-306,2025-Q2,conversion,low,295,14,36-45,Low,Makassar,Yellow-Energy,Minimalist,Professional,Serious,bundle,0.555,4.8,0.0228,0.138,0.219,5.5,24,Bundle campaign for Mondelez Snacks targeting 36-45 demographic in Makassar,75,High,Medium-High
PROMO065,BELI 2 DAPAT 2 - Stok Terbatas!,tv,Beverages,Coca-Cola,premium,COC-BEV-687,2024-Q4,conversion,low,95,60,26-35,Upper-Middle,Makassar,Green-Fresh,Minimalist,Urgent,Caring,bogo,0.612,7.9,0.0433,0.063,0.291,8.8,31,Bogo campaign for Coca-Cola Beverages targeting 26-35 demographic in Makassar,77,High,High
PROMO066,SPECIAL 70% DISCOUNT - Akhir Bulan!,flyer,Beauty,Unilever,premium,UNI-BEA-835,2024-Q4,conversion,medium,1827,21,36-45,Middle,Surabaya,Green-Fresh,Lifestyle,Emotional,Premium,discount,0.517,4.4,0.0375,0.126,0.123,5.2,35,Discount campaign for Unilever Beauty targeting 36-45 demographic in Surabaya,77,High,Medium-Low
PROMO067,BELI 2 DAPAT 1 - Jangan Terlewat!,flyer,Beauty,Mustika Ratu,premium,MUS-BEA-468,2024-Q4,retention,medium,1035,60,36-45,Upper-Middle,Semarang,Orange-Warm,Minimalist,Authoritative,Exciting,bogo,0.238,2.7,0.0651,0.123,0.073,3.2,33,Bogo campaign for Mustika Ratu Beauty targeting 36-45 demographic in Semarang,77,Medium-Low,Low
PROMO068,CONTEST Story Instagram - Voucher 1 Juta!,in-store,Personal Care,P&G,mass,P&G-PER-214,2025-Q1,retention,low,89,45,26-35,Low,Depok,Yellow-Energy,Animation,Emotional,Friendly,contest,0.141,2.6,0.0259,0.109,0.102,2.1,41,Contest campaign for P&G Personal Care targeting 26-35 demographic in Depok,75,Low,Low
PROMO069,COMBO SPECIAL - Double Value!,digital,Beverages,Sido Muncul,premium,SID-BEV-146,2025-Q1,conversion,medium,1684,7,18-25,High,Semarang,Black-Elegant,Product-Focus,Emotional,Trustworthy,bundle,0.736,5.1,0.0505,0.224,0.375,5.3,29,Bundle campaign for Sido Muncul Beverages targeting 18-25 demographic in Semarang,81,High,Medium-High
PROMO070,BUNDLE DEAL - Mega Hemat!,in-store,Personal Care,Head & Shoulders,premium,HEA-PER-836,2024-Q4,awareness,premium,40343,60,46-55,Middle,Medan,Black-Elegant,Product-Focus,Urgent,Friendly,bundle,0.539,6.2,0.0595,0.122,0.36,6.8,25,Bundle campaign for Head & Shoulders Personal Care targeting 46-55 demographic in Medan,87,High,High
PROMO071,BELI 1 DAPAT 1 - Stok Terbatas!,digital,Personal Care,Head & Shoulders,economy,HEA-PER-339,2025-Q2,conversion,medium,1531,21,46-55,High,Medan,Orange-Warm,Lifestyle,Urgent,Trustworthy,bogo,0.42,5.2,0.0157,0.081,0.059,5.3,31,Bogo campaign for Head & Shoulders Personal Care targeting 46-55 demographic in Medan,85,High,Medium-High
PROMO072,SALE 50% OFF - L'Oréal Personal Care!,digital,Personal Care,L'Oréal,premium,L'O-PER-670,2025-Q1,upselling,low,261,30,26-35,Upper-Middle,Bandung,Black-Elegant,Celebrity,Urgent,Fun,discount,0.27,5.4,0.0431,0.044,0.098,5.9,37,Discount campaign for L'Oréal Personal Care targeting 26-35 demographic in Bandung,82,Medium-Low,Medium-High
PROMO073,DAPAT CASHBACK Rp 50000 - Flash Sale!,digital,Personal Care,Vaseline,mass,VAS-PER-820,2025-Q2,conversion,medium,1924,45,26-35,Middle,Surabaya,Purple-Premium,Festival,Playful,Trustworthy,cashback,0.463,4.0,0.0191,0.133,0.077,4.5,37,Cashback campaign for Vaseline Personal Care targeting 26-35 demographic in Surabaya,84,High,Medium-Low
