promo_id,headline,touchpoint,category,brand,sku,period,kpi_lift,kpi_roi,description
PROMO034,"FLASH DEAL 2 JAM - Jangan Sampai Terlewat!",digital,Electronics,Realme,RLM-FLASH-2H,2024-Q3,0.39,4.6,Ultra-short flash sale untuk urgency
PROMO035,"WEEKEND WARRIOR - Petualangan Akhir Pekan!",digital,Outdoor,Eiger,EGR-WEEKEND,2024-Q1,0.31,3.7,Weekend-themed outdoor gear promotion
PROMO036,"HEALTHY LIVING - Hidup Sehat Lebih Murah!",in-store,Health,Blackmores,BLM-VITAMIN-C,2024-Q2,0.28,3.5,Health-focused wellness promotion
PROMO037,"GAMING GEAR SALE - Level Up Setup Kamu!",digital,Gaming,Logitech,LGT-GAMING-SET,2024-Q3,0.42,5.0,Gaming-specific equipment promotion
PROMO038,"OFFICE ESSENTIAL - Produktivitas Maksimal!",wholesale,Office,Canon,CAN-PRINTER-G2010,2024-Q1,0.33,3.9,B2B office equipment promotion
PROMO039,"SENIOR CITIZEN - Diskon Khusus Lansia!",in-store,Pharmacy,Guardian,GRD-SENIOR,2024-Q2,0.25,3.1,Senior citizen specific healthcare discount
PROMO040,"NEWLYWED PACKAGE - Rumah Baru Impian!",in-store,Home,IKEA,IKE-NEWLYWED,2024-Q3,0.38,4.5,Newlywed home furnishing package
PROMO041,"SPORTS SEASON - Dukung Tim Favorit!",digital,Sports,Specs,SPC-JERSEY-PSI,2024-Q1,0.34,4.1,Sports season merchandise promotion
PROMO042,"BACK TO SCHOOL - Perlengkapan Sekolah Lengkap!",flyer,Stationery,Faber Castell,FCL-SCHOOL-KIT,2024-Q2,0.29,3.6,Back to school seasonal promotion
PROMO043,"WORK FROM HOME - Setup Kantor Rumah!",digital,Furniture,INFORMA,INF-WFH-DESK,2024-Q2,0.36,4.3,WFH furniture setup promotion
PROMO044,"PET LOVERS - Sayang Hewan Kesayangan!",in-store,Pet Care,Royal Canin,RCN-DOG-FOOD,2024-Q3,0.32,3.8,Pet care enthusiast targeting
PROMO045,"ECO FRIENDLY - Ramah Lingkungan Hemat!",digital,Sustainable,Bamboo,BMB-ECO-BOTTLE,2024-Q1,0.27,3.4,Sustainability-focused green promotion
PROMO046,"ARTISAN CRAFT - Karya Tangan Berkualitas!",flyer,Handicraft,Batik Trusmi,BTK-SHIRT-L,2024-Q2,0.24,3.0,Local artisan craft promotion
PROMO047,"TECH SAVVY - Gadget Terdepan Termurah!",digital,Technology,Oppo,OPP-SMARTPHONE,2024-Q3,0.40,4.7,Tech enthusiast gadget promotion
PROMO048,"COMFORT ZONE - Kenyamanan Rumah Terbaik!",in-store,Home Comfort,Sharp,SHP-AC-1PK,2024-Q1,0.35,4.2,Home comfort appliance promotion
PROMO049,"ADVENTURE GEAR - Petualangan Tanpa Batas!",outdoor,Adventure,Consina,CNS-BACKPACK-40L,2024-Q2,0.37,4.4,Adventure gear outdoor promotion
PROMO050,"LUXURY EXPERIENCE - Kemewahan Terjangkau!",premium,Luxury,Coach,CCH-HANDBAG,2024-Q3,0.44,5.1,Accessible luxury experience promotion
